,time,k,d,a,gold,ha,sa,an,ca,dis,fe,sup,conf
0,01:00:00,2,0,0,5724,0.5673812031745911,0.48869767785072327,2.3364946842193604,11.693838119506836,81.93135070800781,0.18551012873649597,0.9840410351753235,1.8126845359802246
1,01:00:01,2,0,0,5726,0.02922126092016697,0.43409284949302673,0.46343040466308594,97.24554443359375,1.5518230199813843,0.015926767140626907,0.08021150529384613,0.17973527312278748
2,01:00:02,2,0,0,5728,0.053564850240945816,0.2453041970729828,0.295030802488327,98.6258544921875,0.5714826583862305,0.009611614979803562,0.06926847249269485,0.12988513708114624
3,01:00:03,2,0,0,5730,0.3158590495586395,0.6167243123054504,2.19071626663208,93.03680419921875,0.9384660720825195,0.11394264549016953,1.8835386037826538,0.9039353728294373
4,01:00:04,2,0,0,5732,0.6064693331718445,0.6703420281410217,39.87665939331055,54.80984878540039,1.7435429096221924,0.1992654949426651,1.4985272884368896,0.5953378677368164
6,01:00:06,2,0,0,5736,0.04003005847334862,0.3837946653366089,64.69513702392578,32.918731689453125,1.1774789094924927,0.04381125047802925,0.21937140822410583,0.5216511487960815
7,01:00:07,2,0,0,5738,0.21479232609272003,0.8502730131149292,49.250736236572266,35.29833984375,10.747559547424316,0.29274123907089233,1.1539608240127563,2.1916046142578125
8,01:00:08,2,0,0,5740,0.4654434025287628,0.32156768441200256,1.8182603120803833,93.82957458496094,1.805139183998108,0.04633448272943497,0.8729965686798096,0.8406789898872375
9,01:00:09,2,0,0,5742,2.0725831985473633,0.7084304094314575,4.78169584274292,61.66927719116211,20.345272064208984,0.3911527693271637,3.998842477798462,6.032747745513916
10,01:00:10,2,0,0,5744,0.9108161330223083,0.3414992094039917,1.891850471496582,24.148582458496094,68.08157348632812,0.17167958617210388,1.4698866605758667,2.984114408493042
11,01:00:11,2,0,0,5746,0.8905139565467834,0.691602349281311,4.0269856452941895,34.05107498168945,50.77854537963867,0.30801764130592346,2.5114316940307617,6.741837978363037
12,01:00:12,2,0,0,5748,0.8113502264022827,0.18034175038337708,3.605532646179199,8.561933517456055,84.7906723022461,0.09977427870035172,0.7496285438537598,1.2007732391357422
